arch,ts_code,entry_date,exit_date,hold_days,levels,pnl
A2,000858.SZ,2023-04-11,2023-05-22,26,1,-8948.597713199997
A2,600519.SH,2023-04-13,2023-06-16,43,1,7184.677604219993
A2,600809.SH,2023-05-23,2023-07-25,43,1,2523.7729110600194
A2,300418.SZ,2023-06-27,2023-08-14,34,1,-21454.011303119943
A2,600276.SH,2023-08-01,2023-08-28,19,1,-5139.077456699975
A2,002475.SZ,2023-09-08,2023-10-11,17,1,13314.679056360037
A2,300014.SZ,2023-02-21,2023-11-06,172,1,-69129.29210615999
A2,600519.SH,2023-10-16,2023-12-29,54,1,-1831.4126027999737
A2,601318.SH,2023-11-10,2024-01-25,53,1,-10468.469246399996
A2,002230.SZ,2024-01-04,2024-02-08,25,1,1790.5347979200596
A2,002594.SZ,2023-08-15,2024-03-12,137,1,-36386.72348255999
A2,601012.SH,2024-01-30,2024-03-12,24,1,20139.638432760024
A2,601318.SH,2024-03-25,2024-04-29,23,1,8792.969072579988
A2,000628.SZ,2024-04-01,2024-05-21,31,1,-60968.85213275996
A2,000977.SZ,2024-05-29,2024-07-09,28,1,8939.030455080007
A2,000625.SZ,2024-05-07,2024-07-10,45,1,-8699.109568379994
A2,603019.SH,2024-03-28,2024-07-17,73,1,-19131.195338639896
A2,601919.SH,2024-07-15,2024-09-20,47,1,-7543.930624559958
A2,601138.SH,2024-07-19,2024-09-24,45,1,-36779.420462399925
A2,601899.SH,2024-07-24,2024-09-25,43,1,5800.701616380044
A2,600150.SH,2024-09-23,2024-12-18,57,1,18430.05484782002
A2,600418.SH,2024-11-28,2024-12-31,23,1,16133.701312079997
A3,600030.SH,2020-03-17,2020-04-14,19,1,-782.4692163599539
A3,300750.SZ,2020-03-02,2020-04-15,31,1,-13255.35195599997
A3,601318.SH,2020-03-02,2020-04-17,33,1,-16602.99329699998
A3,002475.SZ,2020-03-18,2020-04-28,28,1,1703.9730795200012
A3,000063.SZ,2020-03-18,2020-05-07,32,1,6387.973052219953
A3,000725.SZ,2020-03-17,2020-05-11,35,1,-9250.490551680006
A3,000002.SZ,2020-03-19,2020-06-02,49,1,74.02615292000019
A3,002714.SZ,2020-05-12,2020-06-18,27,1,-73422.30253895996
A3,000063.SZ,2020-05-26,2020-06-18,17,1,16543.11587328001
A3,002415.SZ,2020-05-26,2020-06-18,17,1,14247.334767060034
A3,600703.SH,2020-06-16,2020-07-06,12,1,30812.556351060048
A3,600030.SH,2020-09-08,2020-10-12,18,1,6613.851740760059
A3,300059.SZ,2020-09-10,2020-10-12,16,1,8055.582897240063
A3,000063.SZ,2020-09-11,2020-10-13,16,1,13217.938861680013
A3,002456.SZ,2020-09-02,2020-10-28,34,1,-12138.795218159968
A3,300136.SZ,2020-10-13,2020-11-09,19,1,2794.0862649600313
A3,600030.SH,2020-10-27,2020-11-23,19,1,7538.644023660017
A3,000661.SZ,2020-10-26,2020-12-01,26,1,29311.88372315999
A3,600745.SH,2020-09-09,2020-12-07,57,1,-12521.759578559984
A3,601012.SH,2020-11-16,2020-12-09,17,1,19457.831472840015
A3,300122.SZ,2020-11-12,2020-12-21,27,1,27719.68695048004
A3,002475.SZ,2020-11-17,2020-12-23,26,1,177.89136604000032
A3,000651.SZ,2020-12-10,2021-01-05,17,1,6024.435667020065
A3,688981.SH,2020-12-17,2021-01-11,16,1,31388.632062480057
A3,601318.SH,2021-01-29,2021-02-25,14,1,14306.815650240023
A3,300059.SZ,2021-02-23,2021-04-02,28,1,-16546.81791419997
A3,600030.SH,2021-03-02,2021-04-06,24,1,-468.07886427999983
A3,002241.SZ,2021-02-01,2021-04-13,45,1,-24107.99475959997
A3,300750.SZ,2021-02-01,2021-04-14,46,1,-3679.1804618999595
A3,002475.SZ,2021-01-29,2021-04-19,50,1,-58658.76237851998
A3,601899.SH,2021-03-25,2021-04-20,17,1,249.75969866000014
A3,601166.SH,2021-04-16,2021-05-12,15,1,20247.208778700005
A3,002352.SZ,2021-04-13,2021-05-18,22,1,857.6108323200169
A3,600031.SH,2021-04-13,2021-06-01,32,1,12.486242319999747
A3,600009.SH,2021-02-04,2021-06-03,76,1,-18651.52893239996
A3,002594.SZ,2021-02-26,2021-06-08,68,1,6282.727907400025
A3,002340.SZ,2021-06-08,2021-07-06,19,1,4130.401248000009
A3,000661.SZ,2021-05-25,2021-07-19,38,1,-5521.982931359991
A3,600031.SH,2021-06-15,2021-08-03,35,1,-2512.0176731999672
A3,002241.SZ,2021-07-23,2021-08-05,9,1,16966.82352762003
A3,600036.SH,2021-07-09,2021-08-18,28,1,202.3412852800002
A3,601919.SH,2021-07-26,2021-08-30,25,1,308.55059825000035
A3,002460.SZ,2021-08-17,2021-08-30,9,1,43105.41852209999
A3,300750.SZ,2021-08-17,2021-09-14,20,1,19148.41928376007
A3,002714.SZ,2021-05-25,2021-09-27,86,1,-92997.41887259998
A3,000858.SZ,2021-07-09,2021-09-27,54,1,-36932.62872725993
A3,002594.SZ,2021-09-30,2021-10-15,6,1,16303.042931759992
A3,601318.SH,2021-04-16,2021-10-21,123,1,-42231.28127094002
A3,000651.SZ,2021-05-26,2021-10-22,99,1,-28209.022276679985
A3,600111.SH,2021-09-30,2021-10-25,12,1,43782.60256524003
A3,600089.SH,2021-10-11,2021-10-27,12,1,3809.0721888000007
A3,002466.SZ,2021-09-23,2021-11-09,28,1,-901.1259201599751
